trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,TRUE,"{'a': 0.0, 'e': 0.0}",30,13,29.90430238,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,TRUE,"{'a': 0.0, 'e': 0.0}",30,12,34.91165432,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,17.90962321,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,TRUE,"{'a': 0.0, 'e': 0.0}",20,2,33.68327968,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,17.80499489,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,TRUE,"{'a': 0.0, 'e': 0.0}",20,13,15.10605657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,TRUE,"{'a': 0.0, 'e': 0.0}",20,14,12.63217109,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,22.01341787,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,TRUE,"{'a': 0.0, 'e': 0.0}",20,13,12.51472853,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,16.42697838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,TRUE,"{'a': 0.0, 'e': 0.0}",25,8,26.8949676,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,TRUE,"{'a': 0.0, 'e': 0.0}",20,12,16.64326741,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,TRUE,"{'a': 0.0, 'e': 0.0}",25,10,23.8508655,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,TRUE,"{'a': 0.0, 'e': 0.0}",30,10,35.33851883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,TRUE,"{'a': 0.0, 'e': 0.0}",20,15,11.70074984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,TRUE,"{'a': 0.0, 'e': 0.0}",20,8,21.17297846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,TRUE,"{'a': 0.0, 'e': 0.0}",20,16,7.574004385,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,TRUE,"{'a': 0.0, 'e': 0.0}",20,14,10.48057508,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,TRUE,"{'a': 0.0, 'e': 0.0}",20,5,21.84113747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,16.22079063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
